0.001,0.5,0.008,545959,756,3160,30,0,-1,-1,757,80,98,26,0,-1,-1,193,6992,1171,976,842,471,151
0.002,0.5,0.008,545959,355,3160,30,0,-1,-1,356,80,98,26,0,-1,-1,193,5972,1163,896,657,645,153
0.003,0.5,0.008,545959,245,3160,30,0,-1,-1,246,80,98,26,0,-1,-1,193,5820,1161,767,671,664,152
0.004,0.5,0.008,545959,179,2701,22,0,-1,-1,180,74,86,18,0,-1,-1,168,5912,1178,726,633,902,152
0.005,0.5,0.008,545959,142,1035,10,0,-1,-1,143,46,45,9,0,-1,-1,92,5590,1168,675,536,1292,152
0.006,0.5,0.008,545959,97,300,7,0,-1,-1,98,25,25,5,0,-1,-1,49,6102,1172,738,475,643,151
0.007,0.5,0.008,545959,57,120,4,0,-1,-1,58,16,17,1,0,-1,-1,28,5709,1166,671,452,808,152
0.008,0.5,0.008,545959,44,66,4,0,-1,-1,45,12,14,1,0,-1,-1,21,5988,1167,613,446,593,157
0.009,0.5,0.008,545959,32,55,3,0,-1,-1,33,11,12,1,0,-1,-1,18,6152,1162,656,445,722,149
0.01,0.5,0.008,545959,25,55,3,0,-1,-1,26,11,11,1,0,-1,-1,17,5501,1181,578,447,583,163
0.02,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,4,0,-1,-1,-1,6,5892,1167,569,437,338,-1
0.03,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,3,0,-1,-1,-1,6,6041,1171,572,434,339,-1
0.04,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,6056,1170,568,422,335,-1
0.05,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5915,1164,574,422,338,-1
0.06,0.5,0.008,545959,6,6,0,-1,-1,-1,7,4,2,0,-1,-1,-1,4,6791,1162,612,528,337,-1
0.07,0.5,0.008,545959,6,3,0,-1,-1,-1,7,3,2,0,-1,-1,-1,3,6304,1172,575,558,349,-1
0.08,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,5864,1166,609,557,333,-1
0.09,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6113,1174,612,555,334,-1
0.1,0.5,0.08,545959,4,1,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,2,5421,1159,581,411,-1,-1
0.4,0.5,0.08,545959,2,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,0,6099,1165,550,-1,-1,-1
0.001,0.5,0.008,545959,756,3160,30,0,-1,-1,757,80,98,26,0,-1,-1,193,5660,1168,975,832,470,151
0.002,0.5,0.008,545959,355,3160,30,0,-1,-1,356,80,98,26,0,-1,-1,193,6093,1173,892,655,646,152
0.003,0.5,0.008,545959,245,3160,30,0,-1,-1,246,80,98,26,0,-1,-1,193,6304,1178,778,669,660,153
0.004,0.5,0.008,545959,179,2701,22,0,-1,-1,180,74,86,18,0,-1,-1,168,6238,1174,757,634,900,152
0.005,0.5,0.008,545959,142,1035,10,0,-1,-1,143,46,45,9,0,-1,-1,92,5671,1178,669,533,1292,152
0.006,0.5,0.008,545959,97,300,7,0,-1,-1,98,25,25,5,0,-1,-1,49,6057,1175,657,478,642,152
0.007,0.5,0.008,545959,57,120,4,0,-1,-1,58,16,17,1,0,-1,-1,28,6096,1172,664,451,810,153
0.008,0.5,0.008,545959,44,66,4,0,-1,-1,45,12,14,1,0,-1,-1,21,6191,1161,677,451,597,153
0.009,0.5,0.008,545959,32,55,3,0,-1,-1,33,11,12,1,0,-1,-1,18,6132,1166,643,446,734,149
0.01,0.5,0.008,545959,25,55,3,0,-1,-1,26,11,11,1,0,-1,-1,17,6497,1170,581,444,580,164
0.02,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,4,0,-1,-1,-1,6,5495,1168,618,433,339,-1
0.03,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,3,0,-1,-1,-1,6,5847,1176,569,434,340,-1
0.04,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5531,1172,569,435,339,-1
0.05,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,6452,1161,568,421,338,-1
0.06,0.5,0.008,545959,6,6,0,-1,-1,-1,7,4,2,0,-1,-1,-1,4,6454,1162,573,536,338,-1
0.07,0.5,0.008,545959,6,3,0,-1,-1,-1,7,3,2,0,-1,-1,-1,3,5681,1173,572,556,348,-1
0.08,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6314,1184,614,566,348,-1
0.09,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6711,1171,610,564,349,-1
0.1,0.5,0.08,545959,4,1,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,2,6509,1177,580,407,-1,-1
0.4,0.5,0.08,545959,2,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,0,6176,1162,612,-1,-1,-1
0.001,0.5,0.008,545959,756,3160,30,0,-1,-1,757,80,98,26,0,-1,-1,193,6303,1156,969,830,470,152
0.002,0.5,0.008,545959,355,3160,30,0,-1,-1,356,80,98,26,0,-1,-1,193,6095,1173,900,668,651,153
0.003,0.5,0.008,545959,245,3160,30,0,-1,-1,246,80,98,26,0,-1,-1,193,6261,1169,761,659,650,154
0.004,0.5,0.008,545959,179,2701,22,0,-1,-1,180,74,86,18,0,-1,-1,168,6050,1166,755,633,896,152
0.005,0.5,0.008,545959,142,1035,10,0,-1,-1,143,46,45,9,0,-1,-1,92,5795,1169,671,533,1297,151
0.006,0.5,0.008,545959,97,300,7,0,-1,-1,98,25,25,5,0,-1,-1,49,6107,1160,680,482,642,151
0.007,0.5,0.008,545959,57,120,4,0,-1,-1,58,16,17,1,0,-1,-1,28,5769,1171,667,453,802,153
0.008,0.5,0.008,545959,44,66,4,0,-1,-1,45,12,14,1,0,-1,-1,21,5657,1174,662,444,595,151
0.009,0.5,0.008,545959,32,55,3,0,-1,-1,33,11,12,1,0,-1,-1,18,6322,1157,645,447,728,150
0.01,0.5,0.008,545959,25,55,3,0,-1,-1,26,11,11,1,0,-1,-1,17,5711,1177,577,444,582,163
0.02,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,4,0,-1,-1,-1,6,6448,1179,574,447,339,-1
0.03,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,3,0,-1,-1,-1,6,6230,1162,617,431,340,-1
0.04,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5721,1166,572,437,335,-1
0.05,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5684,1177,617,424,337,-1
0.06,0.5,0.008,545959,6,6,0,-1,-1,-1,7,4,2,0,-1,-1,-1,4,6197,1164,611,528,336,-1
0.07,0.5,0.008,545959,6,3,0,-1,-1,-1,7,3,2,0,-1,-1,-1,3,6351,1169,569,559,347,-1
0.08,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,5730,1166,572,553,339,-1
0.09,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6299,1172,570,555,339,-1
0.1,0.5,0.08,545959,4,1,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,2,5515,1162,579,407,-1,-1
0.4,0.5,0.08,545959,2,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,0,5566,1194,549,-1,-1,-1
0.001,0.5,0.008,545959,756,3160,30,0,-1,-1,757,80,98,26,0,-1,-1,193,5940,1171,973,834,470,151
0.002,0.5,0.008,545959,355,3160,30,0,-1,-1,356,80,98,26,0,-1,-1,193,6091,1176,900,665,652,153
0.003,0.5,0.008,545959,245,3160,30,0,-1,-1,246,80,98,26,0,-1,-1,193,6472,1168,762,667,656,153
0.004,0.5,0.008,545959,179,2701,22,0,-1,-1,180,74,86,18,0,-1,-1,168,6080,1168,727,633,897,153
0.005,0.5,0.008,545959,142,1035,10,0,-1,-1,143,46,45,9,0,-1,-1,92,6299,1173,677,535,1290,152
0.006,0.5,0.008,545959,97,300,7,0,-1,-1,98,25,25,5,0,-1,-1,49,5820,1162,655,473,640,152
0.007,0.5,0.008,545959,57,120,4,0,-1,-1,58,16,17,1,0,-1,-1,28,5517,1173,667,449,807,153
0.008,0.5,0.008,545959,44,66,4,0,-1,-1,45,12,14,1,0,-1,-1,21,5518,1176,666,456,595,153
0.009,0.5,0.008,545959,32,55,3,0,-1,-1,33,11,12,1,0,-1,-1,18,6266,1171,650,444,726,150
0.01,0.5,0.008,545959,25,55,3,0,-1,-1,26,11,11,1,0,-1,-1,17,6117,1179,581,443,582,163
0.02,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,4,0,-1,-1,-1,6,5833,1174,572,435,340,-1
0.03,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,3,0,-1,-1,-1,6,6018,1171,570,446,339,-1
0.04,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5781,1163,570,425,339,-1
0.05,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5942,1162,571,423,339,-1
0.06,0.5,0.008,545959,6,6,0,-1,-1,-1,7,4,2,0,-1,-1,-1,4,5863,1177,577,516,336,-1
0.07,0.5,0.008,545959,6,3,0,-1,-1,-1,7,3,2,0,-1,-1,-1,3,6002,1164,575,558,338,-1
0.08,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6061,1157,609,567,348,-1
0.09,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,5271,1163,610,557,333,-1
0.1,0.5,0.08,545959,4,1,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,2,5338,1160,579,402,-1,-1
0.4,0.5,0.08,545959,2,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,0,6483,1170,553,-1,-1,-1
0.001,0.5,0.008,545959,756,3160,30,0,-1,-1,757,80,98,26,0,-1,-1,193,5759,1160,995,844,472,151
0.002,0.5,0.008,545959,355,3160,30,0,-1,-1,356,80,98,26,0,-1,-1,193,5270,1173,895,662,653,153
0.003,0.5,0.008,545959,245,3160,30,0,-1,-1,246,80,98,26,0,-1,-1,193,5861,1170,748,661,649,153
0.004,0.5,0.008,545959,179,2701,22,0,-1,-1,180,74,86,18,0,-1,-1,168,5753,1163,755,634,895,153
0.005,0.5,0.008,545959,142,1035,10,0,-1,-1,143,46,45,9,0,-1,-1,92,6047,1170,673,532,1291,152
0.006,0.5,0.008,545959,97,300,7,0,-1,-1,98,25,25,5,0,-1,-1,49,5868,1165,660,472,643,152
0.007,0.5,0.008,545959,57,120,4,0,-1,-1,58,16,17,1,0,-1,-1,28,5943,1158,662,451,811,153
0.008,0.5,0.008,545959,44,66,4,0,-1,-1,45,12,14,1,0,-1,-1,21,5687,1170,669,447,597,152
0.009,0.5,0.008,545959,32,55,3,0,-1,-1,33,11,12,1,0,-1,-1,18,5757,1168,651,445,729,150
0.01,0.5,0.008,545959,25,55,3,0,-1,-1,26,11,11,1,0,-1,-1,17,6135,1181,579,443,582,162
0.02,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,4,0,-1,-1,-1,6,5346,1168,566,433,339,-1
0.03,0.5,0.008,545959,8,15,0,-1,-1,-1,9,6,3,0,-1,-1,-1,6,5344,1165,573,436,340,-1
0.04,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,6232,1159,617,423,340,-1
0.05,0.5,0.008,545959,8,6,0,-1,-1,-1,9,4,3,0,-1,-1,-1,5,5677,1161,571,423,338,-1
0.06,0.5,0.008,545959,6,6,0,-1,-1,-1,7,4,2,0,-1,-1,-1,4,5944,1163,638,481,337,-1
0.07,0.5,0.008,545959,6,3,0,-1,-1,-1,7,3,2,0,-1,-1,-1,3,6479,1160,573,559,346,-1
0.08,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,5797,1177,570,555,341,-1
0.09,0.5,0.008,545959,5,3,0,-1,-1,-1,6,3,1,0,-1,-1,-1,3,6123,1162,611,568,347,-1
0.1,0.5,0.08,545959,4,1,-1,-1,-1,-1,5,2,0,-1,-1,-1,-1,2,6358,1174,579,405,-1,-1
0.4,0.5,0.08,545959,2,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,0,5371,1171,550,-1,-1,-1
